Drug_Name,Drug_Type,MRP,Manufacturer,Pack_Size,Product_Introduction,Uses,Benefits,How_It_Works,Common_Side_Effects,How_To_Use,Scraped_At
Gazyva 1000mg Solution for Infusion,,"₹ 3,99,305",Roche Products India Pvt Ltd,40.0 ml,"Gazyva 1000mg Solution for Infusion is used in the treatment of blood cancer (chronic lymphocytic leukemia). It binds to the receptors on cancer cells. Thus, it flags the cancer cells for destruction by the bodys immune system. Gazyva 1000mg Solution for Infusion is given as an injection into the veins under the supervision of a doctor. Your doctor will decide what dose is necessary and how often you need to take it. This will depend on what you are being treated for and may change from time to time. Take it exactly as advised by the doctor. Taking it in the wrong way or taking too much can cause very serious side effects. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to. The most common side effects of this medicine include nasopharyngitis (inflammation of the throat and nasal passages), upper respiratory tract infection, rash, flu, dermatitis, and eczema. Let your doctor know if any of these side effect",Treatment of Blood cancer (Chronic lymphocytic leukemia),"In Treatment of Blood cancer (Chronic lymphocytic leukemia) Blood cancer, also called leukemia, is a cancer of the blood-forming tissues that decreases the bodys ability to fight infection. Gazyva 1000mg Solution for Infusion kills or stops the growth of cancer cells and prevents their multiplication. It is an effective medicine, but you should discuss its side effects and benefits with your doctor. Let them know if any of the side effects bother you.",Gazyva 1000mg Solution for Infusion works by recognizing and attaching to specific proteins (namely CD20) on leukemia cells and some healthy blood cells. It destroys leukemia cells directly or with the help of the immune system.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Gazyva Nasopharyngitis (inflammation of the throat and nasal passages) Upper respiratory tract infection Rash Flu Dermatitis Bronchitis (inflammation of the airways) Eczema Swelling of lymph nodes Oropharyngeal pain,Your doctor or nurse will give you this medicine. Kindly do not self-administer.,21-10-2025 17:56
Gefticip Tablet,Tablet,"₹ 5,238",Cipla Ltd,1 Strip,"Gefticip Tablet is used in the treatment of non-small cell lung cancer. It is used in patients in which it has spread to other parts of the body, who have abnormal epidermal growth factor receptor (EGFR) genes, and who have not had previous treatment for cancer. Gefticip Tablet should be taken in a dose as recommended by the doctor. You should continue to take it as long as your doctor advises for it. The duration of treatment varies according to your need and response to treatment. Your doctor may advice for regular monitoring of liver function while your taking this medicine. Common side effects include diarrhea, dry skin, loss of appetite, and nausea. Drink plenty of fluids to reduce the risk of side effects. Inform your doctor if any of the side effects bother you or get worse. In case you develop ulceration in mouth, changes in your vision, or breathing difficulties than it is better to inform the doctor. Women who are undergoing treatment should use effective contraception method",Non-small cell lung cancer,In Non-small cell lung cancer Non-small cell lung cancer is one of the major kinds of lung cancer and it affects both smokers as well as non-smokers. Gefticip Tablet helps treat non-small cell lung cancer and may be given alone or in combination with other medicines. It is a potent and very toxic medicine and you should discuss the risks and benefits with your doctor. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.,Gefticip Tablet is an anti-cancer medication. It works by blocking the action of the abnormal protein that signals cancer cells to multiply. This helps to stop or slow the spread of cancer cells.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Gefticip Diarrhea Dry skin Loss of appetite Nausea Rash Vomiting Weakness Weight loss Eating disorder Allergic reaction,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Gefticip Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:56
GEMcal Soft Gelatin Capsule,Capsule,₹ 391.85,Alkem Laboratories Ltd,1 Strip,"GEMcal Soft Gelatin Capsule is a combination of medicines that is used to treat nutritional deficiencies. It helps in the absorption of calcium and bone strengthening. It helps in proper growth and development of bones. It also helps in protein synthesis and the production of blood cells (red and white blood cells). GEMcal Soft Gelatin Capsule may be taken with or without food. It should be used in the dose and duration as prescribed by your doctor. It is advised to take this medicine at a fixed time. This medicine should not be taken more than the recommended dose. It is usually a safe medicine with very minimal or no side effects. However, if you experience severe diarrhea, vomiting, or constipation, you should consult your doctor without delay. Before taking this medicine, tell your doctor if you have any other health conditions. Inform your doctor if you are taking any other medicines or if you are pregnant or breastfeeding. It is advised not to take alcohol after taking this medic",Vitamin & mineral deficiency,In Vitamin & mineral deficiency GEMcal Soft Gelatin Capsule is a calcium supplement that helps in the treatment of calcium deficiency. It improves the level of vitamin D in your blood which in turn helps in absorption of more calcium from your intestine. GEMcal Soft Gelatin Capsule will help to keep your bones strong and healthy and reduce the risk of any bone disorders like osteoporosis.,"GEMcal Soft Gelatin Capsule is a combination of three medicines: Calcitriol, Calcium Carbonate and Zinc Sulfate which treat osteoporosis. Calcitriol helps your body effectively absorb Calcium Carbonate and additionally supports the muscles needed to avoid falls. Calcium Carbonate and Zinc Sulfate help build and maintain bones.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of GEMcal Limited data available,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. GEMcal Soft Gelatin Capsule may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:56
GEMcal XT Tablet,Tablet,₹ 232,Alkem Laboratories Ltd,1 Strip,"GEMcal XT Tablet is a combination medicine used to treat nutritional deficiencies. It is normally prescribed when your diet alone cannot provide the necessary supplements your body needs. It fulfills the deficiency to prevent related diseases. It also ensures proper growth and functioning of the body. GEMcal XT Tablet may be taken with or without food. Take it in the dose and duration advised by the doctor. Take it regularly at the same time each day to get maximum benefits from it. Do not take it more than or longer than prescribed by the doctor, as that may cause harmful effects. It is generally safe medicine with little or no side effects. However, some people may experience dryness in the mouth, nausea, abdominal pain, constipation, and headache on taking the medicine. If you experience any such side effects which do not go away on their own or get worse, let your doctor know. It is important to let your doctor know if you have any preexisting medical conditions or if you are takin",Nutritional deficiencies,"In Nutritional deficiencies GEMcal XT Tablet is a nutritional supplement that is used to prevent or treat low blood calcium levels in people who do not get enough calcium from their diets. It improves the level of calcium in the body. This helps keep your bones strong and healthy and reduce the risk of any bone disorders like osteoporosis. Calcium is also necessary for normal functioning of nerves, cells, muscle and heart. This combination contains other vitamins and minerals that help in strengthening the immune system, improve metabolism of the body and aid in the proper functioning of the nervous system. Taking GEMcal XT Tablet improves general health and enhances the quality of life.","GEMcal XT Tablet is a combination of five medicines : Calcium Carbonate, Vitamin D3, Methylcobalamin, L-Methyl Folate Calcium, and Pyridoxal-5-phosphate. Calcium carbonate is a dietary supplement used when the amount of calcium taken in the diet is not enough. Vitamin D3 is a form of vitamin D. It raises vitamin D levels in your blood. This in turn raises calcium levels in your blood by helping you absorb more calcium from food. Methylcobalamin is a form of vitamin B12 that restores its level in the body thereby helping in treating certain anemias and nerve problems. L-Methyl Folate Calcium and Pyridoxal-5-phosphate are nutritional supplements that provide essential nutrients to our body and improve overall health.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of GEMcal Dryness in mouth Nausea Constipation Abdominal pain Headache,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. GEMcal XT Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:56
Gemer 2 Tablet PR,Tablet,₹ 237.18,Sun Pharmaceutical Industries Ltd,2 Tablet,"Gemer 2 Tablet PR belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes. Gemer 2 Tablet PR should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you, and this may change from time to time according to how it is working, according to your blood sugar levels. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes. The most common side",Treatment of Type 2 diabetes mellitus,"In Treatment of Type 2 diabetes mellitus Gemer 2 Tablet PR is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life.","Gemer 2 Tablet PR is a combination of two antidiabetic medicines: Glimepiride and Metformin. Glimepiride is a sulfonylurea that works by increasing the amount of insulin released by the pancreas to lower the blood glucose. Metformin is a biguanide that works by lowering glucose production in the liver, delaying glucose absorption from the intestines, and increasing the bodys sensitivity to insulin.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Gemer Headache Hypoglycemia (low blood glucose level) Nausea Diarrhea,Use it as advised by your doctor or check the label for directions before use. Gemer 2 Tablet PR is to be taken with food.,21-10-2025 17:56
Gliozolamide 100mg Tablet,Tablet,"₹ 6,865.38",Biochem Pharmaceutical Industries,5.0 tablet,"Gliozolamide 100mg Tablet is used in the treatment of a specific type of cancer of the brain. It is used to treat brain tumors if they return or get worse after standard treatment. It may be also used to treat other conditions, as determined by the doctor. Gliozolamide 100mg Tablet should be taken empty stomach and at same time each day to make sure it has the best effect. Your doctor will decide what dose is necessary and how often you need to take it. This will depend on what you are being treated for and may change from time to time. You should take it exactly as your doctor has advised. Taking it in the wrong way or taking too much can cause very serious side effects. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to. The most common side effects of this medicine include nausea, vomiting, constipation, headache and fatigue. This medicine may reduce the number of blood cells in your blood thereby, increa",,In Brain tumor Brain tumor is an abnormal mass or collection of cells that may be cancerous (malignant) or non-cancerous (benign). Gliozolamide 100mg Tablet kills or stops the growth of cancer cells and also prevents the multiplication of cancer cells. It is a potent and very toxic medicine and you should discuss the risks and benefits with your doctor. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.,Gliozolamide 100mg Tablet is an anti-cancer medication. It enters the brain tissues and works by damaging the genetic material (DNA and RNA) of the cancer cells. This stops their growth and multiplication.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Gliozolamide Nausea Vomiting Constipation Headache Fatigue Convulsion Coordination disorder Diarrhea Dizziness Fever Hair loss Hemiparesis (weakness on one side of the body) Insomnia (difficulty in sleeping) Loss of appetite Memory loss Rash Viral infection Weakness,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Gliozolamide 100mg Tablet is to be taken empty stomach.",21-10-2025 17:56
Gliozolamide 250mg Tablet,Tablet,"₹ 16,477.31",Biochem Pharmaceutical Industries,250 Tablet,"Gliozolamide 250mg Tablet is used in the treatment of a specific type of cancer of the brain. It is used to treat brain tumors if they return or get worse after standard treatment. It may be also used to treat other conditions, as determined by the doctor. Gliozolamide 250mg Tablet should be taken empty stomach and at same time each day to make sure it has the best effect. Your doctor will decide what dose is necessary and how often you need to take it. This will depend on what you are being treated for and may change from time to time. You should take it exactly as your doctor has advised. Taking it in the wrong way or taking too much can cause very serious side effects. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to. The most common side effects of this medicine include nausea, vomiting, constipation, headache and fatigue. This medicine may reduce the number of blood cells in your blood thereby, increa",,In Brain tumor Brain tumor is an abnormal mass or collection of cells that may be cancerous (malignant) or non-cancerous (benign). Gliozolamide 250mg Tablet kills or stops the growth of cancer cells and also prevents the multiplication of cancer cells. It is a potent and very toxic medicine and you should discuss the risks and benefits with your doctor. You should avoid drinking alcohol while having this treatment and drink plenty of water to stay hydrated.,Gliozolamide 250mg Tablet is an anti-cancer medication. It enters the brain tissues and works by damaging the genetic material (DNA and RNA) of the cancer cells. This stops their growth and multiplication.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Gliozolamide Nausea Vomiting Constipation Headache Fatigue Convulsion Coordination disorder Diarrhea Dizziness Fever Hair loss Hemiparesis (weakness on one side of the body) Insomnia (difficulty in sleeping) Loss of appetite Memory loss Rash Viral infection Weakness,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Gliozolamide 250mg Tablet is to be taken empty stomach.",21-10-2025 17:56
Glyciphage SR 500mg Tablet,Tablet,₹ 24.23,Franco-Indian Pharmaceuticals Pvt Ltd,500 Tablet,"Glyciphage SR 500mg Tablet is a medicine used to treat type 2 diabetes mellitus. It helps control blood sugar levels and thus prevents serious complications of diabetes. It is also used to treat a menstruation-related disorder known as polycystic ovary syndrome (PCOS) in women. Glyciphage SR 500mg Tablet is best taken with food to avoid nausea and abdominal pain. You should take it regularly, at the same time each day, to get the most benefit. You should not stop taking this medicine unless your doctor recommends it. Your lifestyle plays a big part in controlling diabetes. Therefore, it is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. The most common side effects of this medicine include diarrhea, nausea, vomiting, abdominal discomfort, headache, and loss of appetite. Some people may develop hypoglycemia (low blood sugar level) when this medicine is taken along with other antidiabetic medicines or alcohol or upon skipping a me",Treatment of Type 2 diabetes mellitus Polycystic ovarian syndrome (PCOS),"In Treatment of Type 2 diabetes mellitus Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes, such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking Glyciphage SR 500mg Tablet regularly, along with proper diet and exercise, will help you live a normal, healthy life.","Glyciphage SR 500mg Tablet is an anti-diabetic medication (biguanide). It works by lowering glucose production in the liver, delaying the absorption of sugar (glucose) from the intestines, and increasing the bodys sensitivity to insulin. In PCOS, Glyciphage SR 500mg Tablet improves insulin sensitivity, lowering insulin and androgen levels and restoring ovulation and menstrual regularity. Reducing insulin resistance helps manage acne, excess hair growth, weight, and diabetes risk, making it effective for both metabolic and reproductive symptoms.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Glyciphage Diarrhea Headache Vomiting Nausea Abdominal discomfort,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Glyciphage SR 500mg Tablet is to be taken with food.",21-10-2025 17:56
Glycomet 500 SR Tablet,Tablet,₹ 41.97,USV Ltd,500 Tablet,"Glycomet 500 SR Tablet is a medicine used to treat type 2 diabetes mellitus. It helps control blood sugar levels and thus prevents serious complications of diabetes. It is also used to treat a menstruation-related disorder known as polycystic ovary syndrome (PCOS) in women. Glycomet 500 SR Tablet is best taken with food to avoid nausea and abdominal pain. You should take it regularly, at the same time each day, to get the most benefit. You should not stop taking this medicine unless your doctor recommends it. Your lifestyle plays a big part in controlling diabetes. Therefore, it is important to stay on the diet and exercise program recommended by your doctor while taking this medicine. The most common side effects of this medicine include diarrhea, nausea, vomiting, abdominal discomfort, headache, and loss of appetite. Some people may develop hypoglycemia (low blood sugar level) when this medicine is taken along with other antidiabetic medicines or alcohol or upon skipping a meal. Moni",Treatment of Type 2 diabetes mellitus Polycystic ovarian syndrome (PCOS),"In Treatment of Type 2 diabetes mellitus Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes, such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking Glycomet 500 SR Tablet regularly, along with proper diet and exercise, will help you live a normal, healthy life.","Glycomet 500 SR Tablet is an anti-diabetic medication (biguanide). It works by lowering glucose production in the liver, delaying the absorption of sugar (glucose) from the intestines, and increasing the bodys sensitivity to insulin. In PCOS, Glycomet 500 SR Tablet improves insulin sensitivity, lowering insulin and androgen levels and restoring ovulation and menstrual regularity. Reducing insulin resistance helps manage acne, excess hair growth, weight, and diabetes risk, making it effective for both metabolic and reproductive symptoms.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Glycomet Diarrhea Headache Vomiting Nausea Abdominal discomfort,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Glycomet 500 SR Tablet is to be taken with food.",21-10-2025 17:57
Glycomet-GP 1 Tablet PR,Tablet,₹ 123.28,USV Ltd,1 Tablet,"Glycomet-GP 1 Tablet PR belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes. Glycomet-GP 1 Tablet PR should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you, and this may change from time to time according to how it is working, according to your blood sugar levels. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes. The most",Treatment of Type 2 diabetes mellitus,"In Treatment of Type 2 diabetes mellitus Glycomet-GP 1 Tablet PR is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life.","Glycomet-GP 1 Tablet PR is a combination of two antidiabetic medicines: Glimepiride and Metformin. Glimepiride is a sulfonylurea that works by increasing the amount of insulin released by the pancreas to lower the blood glucose. Metformin is a biguanide that works by lowering glucose production in the liver, delaying glucose absorption from the intestines, and increasing the bodys sensitivity to insulin.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Glycomet-GP Headache Hypoglycemia (low blood glucose level) Nausea Diarrhea,Use it as advised by your doctor or check the label for directions before use. Glycomet-GP 1 Tablet PR is to be taken with food.,21-10-2025 17:57
Glycomet-GP 2 Tablet PR,Tablet,₹ 180,USV Ltd,2 Tablet,"Glycomet-GP 2 Tablet PR belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes. Glycomet-GP 2 Tablet PR should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you, and this may change from time to time according to how it is working, according to your blood sugar levels. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes. The most",Treatment of Type 2 diabetes mellitus,"In Treatment of Type 2 diabetes mellitus Glycomet-GP 2 Tablet PR is a combination medicine that increases the amount of insulin your body produces (in the pancreas). The insulin then works to lower your blood glucose level. It is usually taken once a day. You should keep taking it for as long as it is prescribed. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems, and loss of limbs. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life.","Glycomet-GP 2 Tablet PR is a combination of two antidiabetic medicines: Glimepiride and Metformin. Glimepiride is a sulfonylurea that works by increasing the amount of insulin released by the pancreas to lower the blood glucose. Metformin is a biguanide that works by lowering glucose production in the liver, delaying glucose absorption from the intestines, and increasing the bodys sensitivity to insulin.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Glycomet-GP Headache Hypoglycemia (low blood glucose level) Nausea Diarrhea,Use it as advised by your doctor or check the label for directions before use. Glycomet-GP 2 Tablet PR is to be taken with food.,21-10-2025 17:57
Glycomet Trio 2 Tablet SR,Tablet,₹ 211.50,USV Ltd,2 Tablet,"Glycomet Trio 2 Tablet SR belongs to a category of medicines known as anti-diabetic drugs. It is a combination of medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes. Take Glycomet Trio 2 Tablet SR with or immediately before meals. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you, and this may change from time to time depending on how it is working according to your blood sugar levels. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes",Treatment of Type 2 diabetes mellitus,"In Treatment of Type 2 diabetes mellitus Glycomet Trio 2 Tablet SR is a medicine that helps to control high blood glucose (sugar) levels. It helps to slow down the breaking down of food in our intestine to simple glucose (sugar), thereby decreasing the rise in blood glucose levels after meals. It also helps get rid of extra glucose from your body through urine. Lowering blood glucose levels is an essential part of managing diabetes. If you can control the level, you will reduce the risk of getting any of the serious complications of diabetes such as kidney damage, eye damage, nerve problems and loss of limbs. Glycomet Trio 2 Tablet SR will reduce the risk of dying from cardiovascular disease if you have type 2 diabetes and already have cardiovascular disease. Taking this medicine regularly along with proper diet and exercise will help you live a normal, healthy life. You should keep using it for as long as it is prescribed because it is protecting your future health.","Glycomet Trio 2 Tablet SR is a combination of three antidiabetic medicines: glimepiride, metformin, and voglibose. They work by different mechanisms to provide better control of blood sugar when single or dual therapy is not effective. Glimepiride is a sulfonylurea that works by increasing the amount of insulin released by the pancreas to lower the blood glucose. Metformin is a biguanide that lowers glucose production in the liver, delays glucose absorption from the intestines, and increases the bodys sensitivity to insulin. Voglibose is an alpha-glucosidase inhibitor that prevents the breakdown of complex sugars into simple sugars such as glucose. This prevents the blood glucose levels from rising to very high levels after meals.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Glycomet Trio Nausea Diarrhea Abdominal pain Hypoglycemia (low blood glucose level) Loss of appetite,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. Glycomet Trio 2 Tablet SR is to be taken with food.",21-10-2025 17:57
GlyNasE-MF Tablet,Tablet,₹ 20.81,USV Ltd,1 Strip,"GlyNasE-MF Tablet belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes. GlyNasE-MF Tablet should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels. Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes. The most common side eff",Treatment of Type 2 diabetes mellitus,"In Treatment of Type 2 diabetes mellitus Type 2 diabetes mellitus is a long-term condition where the body does not produce enough insulin or can not use it properly, leading to high blood sugar levels. If uncontrolled, it can cause serious health problems like nerve damage, kidney disease, vision issues, and heart conditions. GlyNasE-MF Tablet helps manage blood sugar levels more effectively by supporting the bodys ability to use insulin and control sugar after meals. It improves energy levels, reduces symptoms like frequent urination and tiredness, and helps prevent long-term complications, allowing individuals to live a healthier and more active life.","Glipizide is a sulfonylurea which works by increasing the amount of insulin released by the pancreas in order to lower the blood glucose. Metformin is a biguanide which works by lowering glucose production in the liver, delaying glucose absorption from intestines and increasing the bodys sensitivity to insulin.",Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of GlyNasE-MF Hypoglycemia (low blood glucose level) Headache Diarrhea,"Take this medicine in the dose and duration as advised by your doctor. Swallow it as a whole. Do not chew, crush or break it. GlyNasE-MF Tablet is to be taken with food.",21-10-2025 17:57
Granicip 1 DT Tablet,Tablet,₹ 114.79,Cipla Ltd,2 tablet,"Granicip 1 DT Tablet is an antiemetic medicine commonly used to control nausea and vomiting caused due to any surgery, cancer drug therapy, or radiotherapy. Granicip 1 DT Tablet will not relieve other side effects associated with cancer treatments. It also has little effect on vomiting caused by motion sickness. You should take this medicine in the dose and duration advised by your doctor. But, it is better to take this medicine at a fixed time. Remember, you should not stop taking this medicine suddenly without talking to your doctor. In case you vomit within one hour of taking a dose, then take another dose and avoid heavy meals throughout the day. The most common side effects of taking this medicine include headache, constipation, diarrhea, and weakness. Dizziness and sleepiness may also occur, so do not drive or do anything that requires mental focus until you know how this medicine affects you. These symptoms should disappear when you stop taking the medicine but if they bother yo",Vomiting Nausea Nausea and vomiting due to chemotherapy,In Nausea and vomiting due to chemotherapy Granicip 1 DT Tablet is used to prevent nausea and vomiting that may be caused due to some medicines or cancer treatment. It blocks the action of chemicals in the body that can make you feel or be sick. This medicine helps you recover more comfortably from cancer treatments such as radiation therapy or chemotherapy.,Granicip 1 DT Tablet is an antiemetic medication. It works by blocking the action of a chemical messenger (serotonin) in the brain that may cause nausea and vomiting during anti-cancer treatment (chemotherapy) or after surgery.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Granicip Weakness Headache Constipation Diarrhea Insomnia (difficulty in sleeping),"Take this medicine in the dose and duration as advised by your doctor. Dissolve it in a glass of water before taking it. Granicip 1 DT Tablet may be taken with or without food, but it is better to take it at a fixed time.",21-10-2025 17:57
Granicip Injection,Injection,₹ 86.47,Cipla Ltd,2 tablet,"Granicip Injection is an anti-emetic medicine commonly used to control nausea and vomiting caused due to any surgery, cancer drug therapy, or radiotherapy. Granicip Injection will not relieve other side effects associated with cancer treatments. It is administered under the supervision of a healthcare professional and should be taken as advised by the doctor. It is important that you keep having the injections until your doctor decides it is safe to stop them. After this, your doctor may prescribe tablets instead of injections. The most common side effects of taking this medicine include injection site pain or reaction, headache, constipation, diarrhea, and weakness. These symptoms should disappear when you stop taking the medicine but if they bother you or do not go away, your doctor may be able to suggest ways of preventing or reducing them. Before taking this medicine, tell your doctor if you have heart or liver problems or a blockage in your stomach or intestines. Also tell your do",Vomiting Nausea Nausea and vomiting due to chemotherapy,"In Nausea and vomiting due to chemotherapy Granicip Injection blocks the action of chemicals in the body that can make you feel or be sick. It is often used to prevent nausea and vomiting associated with cancer treatment such as chemotherapy or radiation therapy. This medicine helps you recover more comfortably from these treatments. Granicip Injection is given as an injection by a doctor, in the dose that is best for you, depending on the condition you are being treated for. Do not self-administer this medicine to avoid any undesirable side effects.",Granicip Injection is an antiemetic medication. It works by blocking the action of a chemical messenger (serotonin) in the brain that may cause nausea and vomiting during anti-cancer treatment (chemotherapy) or after surgery.,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if youre worried about them Common side effects of Granicip Injection site pain Constipation Diarrhea Headache Weakness Insomnia (difficulty in sleeping),Your doctor or nurse will give you this medicine. Kindly do not self administer.,21-10-2025 17:57
